

LM:
m_recovered = [1300.0002667522485, 1520.0000410388075, 1.0000047247784782]


 m_true = [1400.0, 1540.0, 2.5] # r1, r0, sigma

Skin Depth: 63.63 km


Gauss-Newton:

Iter  | r1         | r0         | sigma      | Residual
------------------------------------------------------------
0     | 1300.00    | 1520.00    | 1.0000     | 6.35e+02
1     | 1350.00    | 1500.00    | 2.0000     | 5.43e+02
2     | 1350.07    | 1500.00    | 1.9945     | 1.09e+03
3     | 1350.07    | 1500.09    | 1.9970     | 6.78e+02
4     | 1350.02    | 1500.00    | 2.0107     | 2.26e+02
5     | 1349.79    | 1500.00    | 2.0122     | 3.59e+02
6     | 1349.93    | 1500.00    | 2.0119     | 3.39e+02
7     | 1349.45    | 1500.01    | 2.0089     | 2.44e+02
8     | 1349.43    | 1500.00    | 2.0212     | 6.78e+02
9     | 1347.45    | 1550.00    | 2.0102     | 2.20e+01
10    | 1347.44    | 1550.00    | 2.0100     | 5.69e+02
11    | 1347.24    | 1550.03    | 1.9738     | 9.16e+01
12    | 1347.26    | 1550.03    | 1.9665     | 4.49e+03
13    | 1347.96    | 1500.03    | 1.9074     | 7.83e+02
14    | 1347.96    | 1500.64    | 1.8953     | 6.41e+02
15    | 1347.99    | 1500.81    | 1.7930     | 5.43e+02
16    | 1347.84    | 1501.46    | 1.7378     | 5.59e+02
17    | 1345.62    | 1500.38    | 2.1133     | 6.24e+02
18    | 1352.54    | 1500.31    | 1.9749     | 3.39e+02
19    | 1352.47    | 1500.46    | 1.9907     | 6.79e+02


m_rec_GN = [1349.04, 1550.64, 2.279]

---------------------------------------------------------------------------






2nd comparison with both:



Iter  | r1         | r0         | sigma      | Residual
------------------------------------------------------------
0     | 1300.00    | 1560.00    | 1.0000     | 6.88e+02
1     | 1312.19    | 1510.00    | 0.0100     | 1.74e+01
2     | 1311.38    | 1507.49    | 0.0100     | 1.70e+01
3     | 1312.08    | 1510.49    | 0.0100     | 1.75e+01
4     | 1309.96    | 1513.16    | 0.0100     | 1.84e+01
5     | 1310.64    | 1513.33    | 0.0100     | 1.83e+01
6     | 1311.73    | 1511.59    | 0.0100     | 1.78e+01
7     | 1310.91    | 1515.13    | 0.0100     | 1.86e+01
8     | 1312.50    | 1511.56    | 0.0100     | 1.77e+01
9     | 1308.08    | 1513.39    | 0.0100     | 1.87e+01
10    | 1306.70    | 1522.24    | 0.0100     | 2.07e+01
11    | 1305.31    | 1516.36    | 0.0100     | 1.97e+01
12    | 1303.41    | 1523.61    | 0.0100     | 2.15e+01
13    | 1301.83    | 1524.36    | 0.0100     | 2.19e+01
14    | 1300.38    | 1527.69    | 0.0100     | 2.29e+01
15    | 1301.49    | 1528.36    | 0.0100     | 2.29e+01
16    | 1296.92    | 1537.94    | 0.0100     | 2.58e+01
17    | 1297.53    | 1540.12    | 0.0100     | 2.63e+01
18    | 1301.66    | 1541.18    | 0.0100     | 2.59e+01
19    | 1306.13    | 1538.67    | 0.0100     | 2.46e+01
20    | 1305.40    | 1542.65    | 0.0100     | 2.57e+01
21    | 1306.93    | 1542.17    | 0.0100     | 2.53e+01
22    | 1307.98    | 1530.94    | 0.0100     | 2.25e+01
23    | 1296.70    | 1546.86    | 0.0100     | 2.81e+01
24    | 1289.32    | 1549.73    | 0.0100     | 3.00e+01
25    | 1280.76    | 1549.43    | 0.0100     | 3.13e+01
26    | 1284.04    | 1551.46    | 0.0100     | 3.13e+01
27    | 1284.79    | 1543.85    | 0.0100     | 2.92e+01
28    | 1286.34    | 1540.31    | 0.0100     | 2.81e+01
29    | 1290.58    | 1542.05    | 0.0100     | 2.78e+01
30    | 1289.18    | 1541.02    | 0.0100     | 2.78e+01
31    | 1277.93    | 1561.40    | 0.0100     | 3.51e+01
32    | 1269.99    | 1562.99    | 0.0100     | 3.69e+01
33    | 1271.64    | 1564.52    | 0.0100     | 3.71e+01
34    | 1270.31    | 1565.00    | 0.0100     | 3.74e+01
35    | 1274.00    | 1555.89    | 0.0100     | 3.42e+01
36    | 1268.91    | 1562.70    | 0.0100     | 3.70e+01
37    | 1281.91    | 1558.56    | 0.0100     | 3.37e+01
38    | 1284.79    | 1558.37    | 0.0100     | 3.31e+01
39    | 1284.16    | 1562.00    | 0.0100     | 3.43e+01
40    | 1280.47    | 1554.56    | 0.0100     | 3.28e+01
41    | 1277.88    | 1559.47    | 0.0100     | 3.46e+01
42    | 1276.53    | 1553.98    | 0.0100     | 3.33e+01
43    | 1286.68    | 1565.00    | 0.0100     | 3.47e+01
44    | 1288.17    | 1562.66    | 0.0100     | 3.38e+01
45    | 1285.02    | 1565.00    | 0.0100     | 3.50e+01
46    | 1283.51    | 1565.00    | 0.0100     | 3.52e+01
47    | 1291.48    | 1546.84    | 0.0100     | 2.89e+01
48    | 1291.40    | 1548.96    | 0.0100     | 2.95e+01
49    | 1292.02    | 1541.45    | 0.0100     | 2.75e+01
50    | 1282.83    | 1546.29    | 0.0100     | 3.02e+01
51    | 1283.72    | 1547.19    | 0.0100     | 3.02e+01
52    | 1272.79    | 1555.40    | 0.0100     | 3.43e+01
53    | 1264.11    | 1543.02    | 0.0100     | 3.22e+01
54    | 1260.83    | 1539.51    | 0.0100     | 3.18e+01
55    | 1266.68    | 1535.01    | 0.0100     | 2.97e+01
56    | 1265.06    | 1538.60    | 0.0100     | 3.09e+01
57    | 1264.09    | 1536.94    | 0.0100     | 3.06e+01
58    | 1259.50    | 1533.75    | 0.0100     | 3.05e+01
59    | 1262.41    | 1522.56    | 0.0100     | 2.72e+01
60    | 1270.36    | 1520.21    | 0.0100     | 2.55e+01
61    | 1270.86    | 1513.87    | 0.0100     | 2.40e+01
62    | 1279.81    | 1503.42    | 0.0100     | 2.05e+01
63    | 1276.69    | 1504.46    | 0.0100     | 2.11e+01
64    | 1273.97    | 1509.45    | 0.0100     | 2.26e+01
65    | 1276.77    | 1507.51    | 0.0100     | 2.18e+01
66    | 1280.67    | 1504.82    | 0.0100     | 2.07e+01
67    | 1281.61    | 1500.00    | 0.0100     | 1.95e+01
68    | 1276.32    | 1506.09    | 0.0100     | 2.15e+01
69    | 1274.73    | 1506.42    | 0.0100     | 2.18e+01
70    | 1276.76    | 1501.12    | 0.0100     | 2.04e+01
71    | 1274.96    | 1502.47    | 0.0100     | 2.09e+01
72    | 1276.18    | 1505.38    | 0.0100     | 2.14e+01
73    | 1271.00    | 1510.59    | 0.0100     | 2.32e+01
74    | 1272.46    | 1508.51    | 0.0100     | 2.26e+01
75    | 1268.43    | 1513.49    | 0.0100     | 2.42e+01
76    | 1274.52    | 1506.03    | 0.0100     | 2.18e+01
77    | 1273.23    | 1506.34    | 0.0100     | 2.20e+01
78    | 1269.04    | 1502.52    | 0.0100     | 2.17e+01
79    | 1270.48    | 1502.12    | 0.0100     | 2.15e+01
80    | 1272.81    | 1500.00    | 0.0100     | 2.07e+01
81    | 1274.15    | 1500.00    | 0.0100     | 2.05e+01
82    | 1276.67    | 1500.00    | 0.0100     | 2.02e+01
83    | 1278.55    | 1500.00    | 0.0100     | 1.99e+01
84    | 1275.59    | 1506.56    | 0.0100     | 2.17e+01
85    | 1276.60    | 1500.42    | 0.0100     | 2.03e+01
86    | 1278.50    | 1501.35    | 0.0100     | 2.02e+01
87    | 1278.32    | 1500.73    | 0.0100     | 2.01e+01
88    | 1275.53    | 1500.00    | 0.0100     | 2.03e+01
89    | 1279.67    | 1502.43    | 0.0100     | 2.03e+01
90    | 1282.75    | 1500.00    | 0.0100     | 1.94e+01
91    | 1284.23    | 1503.87    | 0.0100     | 2.00e+01
92    | 1285.61    | 1500.00    | 0.0100     | 1.90e+01
93    | 1286.59    | 1502.74    | 0.0100     | 1.94e+01
94    | 1287.94    | 1505.83    | 0.0100     | 1.99e+01
95    | 1288.33    | 1506.37    | 0.0100     | 1.99e+01
96    | 1290.21    | 1506.02    | 0.0100     | 1.96e+01
97    | 1292.39    | 1502.46    | 0.0100     | 1.86e+01
98    | 1292.28    | 1502.06    | 0.0100     | 1.85e+01
99    | 1296.62    | 1500.00    | 0.0100     | 1.75e+01
[1317.216180607811, 1522.918995470655, 1.35653860776885]
Skin Depth: 63.63 km
Ocean Thickness: 160.00 km
Response Factor Q: (0.9378078933562168+0.05816827760762302j)
Predicted Induction Signal at 200km: 68.70 nT
6.9703198095151455
[1317.216180607811, 1522.918995470655, 1.35653860776885]
